manufacture,product_image,product_name,product_price,product_type
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901478/1mile_microporous_hypoallergenic_surgical_tape_2_5_cm_x_9_14_m_0_0.jpg,1Mile Microporous Hypoallergenic Surgical Tape (2.5 cm x 9.14 m),Rs. 600.00,Surgical
Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/812391/dispovan_needle_21g_10_s_0.jpg,Dispovan Needle 21G 10's,Rs. 10.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901473/aio_latex_gloves_lightly_powdered_s_100s_0_0.jpg,AIO Latex Gloves Lightly Powdered (S) 100's,Rs. 850.00,Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/367464/bd_ultra_fine_nano_pen_5_s_0.jpg,BD Ultra Fine Nano Pen 5's,Rs. 70.84,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901474/aio_latex_gloves_lightly_powdered_xs_100s_0_0.jpg,AIO Latex Gloves Lightly Powdered (XS) 100's,Rs. 850.00,Surgical
Mfr: Equinox Overseas Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/816526/equinox_portable_mesh_nebulizer_eq_mn_81_0.jpg,Equinox Portable Mesh Nebulizer (Eq-Mn-81),"Rs. 3,570.00",Surgical
Mfr: Equinox Overseas Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/816520/equinox_compressor_nebulizer_eq_nl_27_0.jpg,Equinox Compressor Nebulizer (EQ-NL-27),"Rs. 1,350.00",Surgical
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/906645/sahyog_wellness_portable_ultrasonic_mesh_nebulizer_machine_with_nebulizer_kit_with_children_and_adult_mask_0_0.jpg,Sahyog Wellness Portable Ultrasonic Mesh Nebulizer Machine with Nebulizer Kit (With Children and Adult Mask),"Rs. 2,017.05",Surgical
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/906644/sahyog_wellness_ultrasonic_nebulizer_machine_with_nebulizer_kit_with_children_and_adult_mask_0_0.jpg,Sahyog Wellness Ultrasonic Nebulizer Machine with Nebulizer Kit (With Children and Adult Mask),"Rs. 1,790.55",Surgical
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/906646/sahyog_wellness_nebulization_kit_with_chamber_for_child_adult_0_0.jpg,Sahyog Wellness Nebulization Kit with Chamber for Child & Adult,Rs. 148.75,Surgical
