discount_percent,discount_price,displayPackageQuantity,displayPackageUnit,displayProductName,genericMedicineType,id,image,isAvailable,manufacture,manufactureUrl,name,page_query,price,quantity,sale_price,type
15,382.5,200,ML,,unit,ATOGLLN01A,https://cdn.medlife.com/productImages/ATOGLLN01A/ATOGLLN01A.jpeg?id=2020-06-30T06:36:05.540000+00:00,ADD,Curatio Healthcare Pvt Ltd,not given, Lotion 200 ML,https://www.medlife.com/8x-shampoo-100-ml/otc/8XWITSN01A,450,200,382.5,Baby & Mom Care
10,63,100,gm,Baby,unit,HIMALPJ03A,https://cdn.medlife.com/productImages/HIMALPJ03A/HIMALPJ03A.jpg?id=2020-07-15T09:17:03.667000+00:00,ADD,Himalaya Drug Company,not given,Baby Powder 100 gm,https://www.medlife.com/himalaya-baby-powder-100-gm/otc/HIMALPJ03A,70,100,63,Baby & Mom Care
0,525,400,gm,Advance Stage 2 Follow-Up Formula,unit,SIMILPR03A,https://cdn.medlife.com/productImages/SIMILPR03A/SIMILPR03A-1.jpg?id=2020-06-10T20:20:29.518000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given,Advance Stage 2 Follow-Up Formula Refill 400 gm,https://www.medlife.com/similac-advance-stage-2-follow-up-formula-refill-400-gm/otc/SIMILPR03A,525,400,525,Baby & Mom Care
0,595,500,gm,Special Care Formula ,unit,DEXOLPJ02A,https://cdn.medlife.com/productImages/DEXOLPJ02A/DEXOLPJ02A-1.jpg?id=2020-04-08T08:51:37.736000+00:00,ADD,Nutricia International Pvt Ltd,not given,Special Care Formula  Jar 500 gm,https://www.medlife.com/dexolac-special-care-formula-jar-500-gm/otc/DEXOLPJ02A,595,500,595,Baby & Mom Care
10,225,100,ml,Stretch Mark Cream (For Moms),unit,HIMALCT50A,https://cdn.medlife.com/productImages/HIMALCT50A/HIMALCT50A.png?id=2020-04-08T08:48:59.788000+00:00,ADD,Himalaya Drug Company,not given,Stretch Mark Cream (For Moms)  100 ml,https://www.medlife.com/himalaya-stretch-mark-cream-for-moms-100-ml/otc/HIMALCT50A,250,100,225,Baby & Mom Care
0,625,46,Pcs,Baby-Dry Diapers Small,unit,PAMPEDP06A,https://cdn.medlife.com/productImages/PAMPEDP06A/PAMPEDP06A.jpg?id=2020-06-20T11:53:33.348000+00:00,ADD,PROCTER AND GAMBLE,not given,Baby-Dry Diapers Small  46 Pcs,https://www.medlife.com/pampers-baby-dry-diapers-small-46-pcs/otc/PAMPEDP06A,625,46,625,Baby & Mom Care
0,345,400,gm,Stage 3 Follow-Up Formula,unit,SIMILPR05A,https://cdn.medlife.com/productImages/SIMILPR05A/SIMILPR05A.jpg?id=2020-06-10T20:20:29.506000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given,Stage 3 Follow-Up Formula Refill 400 gm,https://www.medlife.com/similac-stage-3-follow-up-formula-refill-400-gm/otc/SIMILPR05A,345,400,345,Baby & Mom Care
0,525,400,gm,Neosure Formula,unit,SIMILPJ04A,https://cdn.medlife.com/productImages/SIMILPJ04A/SIMILPJ04A-1.jpg?id=2020-06-10T20:18:48.266000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given,Neosure Formula Jar 400 gm,https://www.medlife.com/similac-neosure-formula-jar-400-gm/otc/SIMILPJ04A,525,400,525,Baby & Mom Care
0,495,400,gm,Isomil Soy Formula,unit,SIMILPJ09A,https://cdn.medlife.com/productImages/SIMILPJ09A/SIMILPJ09A-1.jpg?id=2020-06-10T20:18:48.223000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given,Isomil Soy Formula Jar 400 gm,https://www.medlife.com/similac-isomil-soy-formula-jar-400-gm/otc/SIMILPJ09A,495,400,495,Baby & Mom Care
0,385,500,gm,Stage-1  Formula,unit,DEXOLPJ01A,https://cdn.medlife.com/productImages/DEXOLPJ01A/DEXOLPJ01A-1.jpg?id=2020-07-10T10:51:05.705000+00:00,ADD,Nutricia International Pvt Ltd,not given,Stage-1  Formula Jar 500 gm,https://www.medlife.com/dexolac-stage-1-formula-jar-500-gm/otc/DEXOLPJ01A,385,500,385,Baby & Mom Care
10,445.5,400,gm,,unit,ISOMIPN01A,https://cdn.medlife.com/productImages/ISOMIPN01A/ISOMIPN01A.jpg?id=2020-07-10T12:44:32.763000+00:00,ADD,Abbott Healthcare Pvt Ltd,not given, Powder 400 gm,https://www.medlife.com/isomil-powder-400-gm/otc/ISOMIPN01A,495,400,445.5,Baby & Mom Care
0,525,400,gm,Stage 1 Follow-Up Formula,unit,FAREXPJ01A,https://cdn.medlife.com/productImages/FAREXPJ01A/FAREXPJ01A-1.jpg?id=2020-04-24T08:51:15.821000+00:00,ADD,Nutricia International Pvt Ltd,not given,Stage 1 Follow-Up Formula  400 gm,https://www.medlife.com/farex-stage-1-follow-up-formula-400-gm/otc/FAREXPJ01A,525,400,525,Baby & Mom Care
10,306,1,Units,Baby Mini,unit,HIMALPP08A,https://cdn.medlife.com/productImages/HIMALPP08A/HIMALPP08A.jpg?id=2020-04-08T08:51:28.943000+00:00,ADD,Himalaya Drug Company,not given,Baby Mini Gift Pack 1 Units,https://www.medlife.com/himalaya-baby-mini-gift-pack-1-units/otc/HIMALPP08A,340,1,306,Baby & Mom Care
0,705,400,gm,Stage 2 Follow Up Formula,unit,APTAMPB01A,https://cdn.medlife.com/productImages/APTAMPB01A/APTAMPB01A-1.jpg?id=2020-04-02T06:43:42.270000+00:00,ADD,Nutricia International Pvt Ltd,not given,Stage 2 Follow Up Formula Refill 400 gm,https://www.medlife.com/aptamil-stage-2-follow-up-formula-refill-400-gm/otc/APTAMPB01A,705,400,705,Baby & Mom Care
