dam_images,discount_percent,discount_price,product_image,isAvailable,mrp,product_name,product_price,product_type
https://cdn01.pharmeasy.in/dam/products_otc/B75603/loreal-paris-excellence-creme-hair-color-1-black-72ml100g-1.jpg,5,29.50,https://cdn01.pharmeasy.in/dam/products_otc/B75603/loreal-paris-excellence-creme-hair-color-1-black-72ml100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,590.00,"L'oreal Paris Excellence Creme Hair Color, 1 Black - 72ml+100g",560.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/W58252/loreal-paris-excellence-creme-hair-color-3-dark-brown-natural-darkest-brown-72ml100g-1.jpg,5,29.50,https://cdn01.pharmeasy.in/dam/products_otc/W58252/loreal-paris-excellence-creme-hair-color-3-dark-brown-natural-darkest-brown-72ml100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,590.00,"L'oreal Paris Excellence Creme Hair Color, 3 Dark Brown/natural Darkest Brown - 72ml+100g",560.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/F52985/loreal-paris-excellence-creme-hair-color-316-burgundy-72ml100g-1.jpg,5,29.50,https://cdn01.pharmeasy.in/dam/products_otc/F52985/loreal-paris-excellence-creme-hair-color-316-burgundy-72ml100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,590.00,"L'oreal Paris Excellence Creme Hair Color, 3.16 Burgundy - 72ml+100g",560.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/Z88823/loreal-paris-excellence-creme-hair-color-4-natural-brown-natural-dark-brown-72ml100g-1.jpg,5,29.50,https://cdn01.pharmeasy.in/dam/products_otc/Z88823/loreal-paris-excellence-creme-hair-color-4-natural-brown-natural-dark-brown-72ml100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,590.00,"L'oreal Paris Excellence Creme Hair Color, 4 Natural Brown/natural Dark Brown - 72ml+100g",560.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/D34240/loreal-paris-extraordinary-clay-conditioner-175ml-1.jpg,5,9.25,https://cdn01.pharmeasy.in/dam/products_otc/D34240/loreal-paris-extraordinary-clay-conditioner-175ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,185.00,L'oreal Paris Extraordinary Clay Conditioner - 175ml,175.75,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I35699/naturolax-a-tasty-orange-100gm-natural-relief-from-constipation-1.jpg,12,12.00,https://cdn01.pharmeasy.in/dam/products_otc/I35699/naturolax-a-tasty-orange-100gm-natural-relief-from-constipation-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,100.00,Naturolax A Tasty Orange - 100gm | Natural Relief From Constipation,88.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I32481/naturolax-a-tasty-orange-300gm-natural-relief-from-constipation-1.jpg,10,27.00,https://cdn01.pharmeasy.in/dam/products_otc/I32481/naturolax-a-tasty-orange-300gm-natural-relief-from-constipation-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,270.00,Naturolax A Tasty Orange - 300gm | Natural Relief From Constipation,243.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I33842/neko-dialy-hygiene-soap-100gm-1.jpg,5,3.05,https://cdn01.pharmeasy.in/dam/products_otc/I33842/neko-dialy-hygiene-soap-100gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,61.00,Neko Dialy Hygiene Soap - 100gm,57.95,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-solu-60ml-1.jpg,10,92.80,https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-solu-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,928.00,New Hair 4u 10% Spray Solu 60ml,835.20,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/280271/digene-tablets-orange-flavour-for-acidity-gas-relief-15s-1.jpg,18,3.27,https://cdn01.pharmeasy.in/dam/products_otc/280271/digene-tablets-orange-flavour-for-acidity-gas-relief-15s-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,18.15,Digene Tablets Orange Flavour For Acidity & Gas Relief - 15's,14.88,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/056900/digeplex-drops-15ml-1.jpg,5,3.63,https://cdn01.pharmeasy.in/dam/products_otc/056900/digeplex-drops-15ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,72.59,Digeplex Drops - 15ml,68.96,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/056920/digeplex-sugar-free-liquid-100ml-1.jpg,5,3.77,https://cdn01.pharmeasy.in/dam/products_otc/056920/digeplex-sugar-free-liquid-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,75.34,Digeplex Sugar Free Liquid 100ml,71.57,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/J74734/digeplex-sugar-free-liquid-200ml-1.jpg,6,7.19,https://cdn01.pharmeasy.in/dam/products_otc/J74734/digeplex-sugar-free-liquid-200ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,119.89,Digeplex Sugar Free Liquid 200ml,112.70,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/E98080/loreal-paris-extraordinary-clay-shampoo-175ml-1.jpg,5,7.50,https://cdn01.pharmeasy.in/dam/products_otc/E98080/loreal-paris-extraordinary-clay-shampoo-175ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,150.00,L'oreal Paris Extraordinary Clay Shampoo - 175ml,142.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/J42556/loreal-paris-extraordinary-clay-shampoo-640ml-1.jpg,5,22.50,https://cdn01.pharmeasy.in/dam/products_otc/J42556/loreal-paris-extraordinary-clay-shampoo-640ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,450.00,L'oreal Paris Extraordinary Clay Shampoo - 640ml,427.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/S28426/loreal-paris-total-repair-5-conditioner-175ml-1.jpg,5,9.25,https://cdn01.pharmeasy.in/dam/products_otc/S28426/loreal-paris-total-repair-5-conditioner-175ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,185.00,L'oreal Paris Total Repair 5 Conditioner - 175ml,175.75,Personal Care
